Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
New York Knicks*,66,15940,2365,5335,.443,517,1538,.336,1848,3797,.487,1211,1634,.741,743,2012,2755,1328,622,276,1056,1391,6458
Golden State Warriors,66,15915,2489,5443,.457,524,1351,.388,1965,4092,.480,951,1235,.770,640,1947,2587,1470,528,362,915,1410,6453
Indiana Pacers*,66,15990,2354,5375,.438,392,1064,.368,1962,4311,.455,1349,1724,.782,826,2070,2896,1228,523,357,925,1430,6449
Los Angeles Clippers*,66,15965,2439,5366,.455,514,1441,.357,1925,3925,.490,1046,1538,.680,800,1943,2743,1385,556,315,879,1399,6438
Los Angeles Lakers*,66,16065,2429,5319,.457,362,1112,.326,2067,4207,.491,1202,1589,.756,799,2251,3050,1485,390,351,997,1109,6422
Portland Trail Blazers,66,15965,2402,5417,.443,478,1382,.346,1924,4035,.477,1133,1423,.796,735,1949,2684,1349,528,322,935,1251,6415
Atlanta Hawks*,66,16165,2429,5348,.454,492,1330,.370,1937,4018,.482,1025,1385,.740,652,2066,2718,1481,536,303,921,1178,6375
Chicago Bulls*,66,15940,2467,5462,.452,419,1117,.375,2048,4345,.471,1006,1394,.722,915,2165,3080,1527,456,388,923,1139,6359
Dallas Mavericks*,66,16065,2398,5412,.443,497,1464,.339,1901,3948,.482,1029,1334,.771,665,2157,2822,1380,565,337,926,1226,6322
Memphis Grizzlies*,66,15940,2425,5422,.447,277,849,.326,2148,4573,.470,1142,1504,.759,831,1944,2775,1290,631,345,955,1316,6269
Orlando Magic*,66,15965,2275,5162,.441,670,1785,.375,1605,3377,.475,995,1508,.660,742,2060,2802,1321,451,275,984,1168,6215
Washington Wizards,66,15865,2414,5475,.441,344,1075,.320,2070,4400,.470,1008,1386,.727,775,1975,2750,1262,527,417,1008,1405,6180
Philadelphia 76ers*,66,15915,2471,5516,.448,349,963,.362,2122,4553,.466,889,1198,.742,704,2144,2848,1453,526,340,738,1157,6180
