ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,Season
83%,88%,,73%,,,,66%,89%,66%,,,54%,,,,,,,84%,47%,,72%,,,88%,,,,77%,['1968-69']
91%,89%,,77%,,,,67%,80%,,,,87%,,,,,,,81%,,,98%,,,78%,,,,77%,['1967-68']
82%,80%,,,,,,74%,74%,,,,65%,,,,,,,84%,,,87%,,,79%,,,,65%,['1966-67']
79%,88%,,,,,,56%,74%,,,,84%,,,,,,,44%,,,73%,,,91%,,,,56%,['1965-66']
90%,91%,,,,,,61%,76%,,,,86%,,,,,,,51%,,,75%,,,95%,,,,51%,['1964-65']
87%,90%,,,,,,77%,84%,,,,86%,,,,,,,45%,,,91%,,,76%,,,,53%,['1963-64']
44%,84%,,,,,,81%,63%,,,,69%,,,,,,,54%,,,81%,,,86%,,,,47%,['1962-63']
72%,94%,,,,,,86%,80%,,,,97%,,,,,,,74%,,,81%,,,84%,,,,,['1961-62']
78%,94%,,,,,,63%,85%,,,,82%,,,,,,,74%,,,79%,,,63%,,,,,['1960-61']
75%,93%,,,,,,73%,80%,,,,69%,,,,,,,77%,,,89%,,,66%,,,,,['1959-60']
76%,89%,,,,,,75%,79%,,,,72%,,,,,,,79%,,,82%,,,26%,,,,,['1958-59']
89%,97%,,,,,,44%,70%,,,,44%,,,,,,,75%,,,84%,,,54%,,,,,['1957-58']
59%,61%,,,,,,63%,84%,,,,71%,,,,,,,71%,,,61%,,,67%,,,,,['1956-57']
54%,66%,,,,,,64%,78%,,,,83%,,,,,,,79%,,,92%,,,33%,,,,,['1955-56']
45%,76%,,,,,,80%,61%,,,,85%,,,,,,,70%,,,66%,,,78%,,,,,['1954-55']
28%,81%,,,,,,57%,35%,,,,87%,,,,,,,81%,,,77%,,,96%,,,,,['1953-54']
27%,95%,,,,,,64%,58%,,,,94%,,,,,,,84%,,,83%,,,86%,,,,,['1952-53']
