,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
608,11/12/2022,23.649315068493152,W,0,1.6333333333333333,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,3,3.7,0.0,Jamal Cain,0,0,
609,11/16/2022,23.660273972602738,L,0,6.066666666666666,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,0,-2.2,-8.0,Jamal Cain,0,1,0.0
610,11/18/2022,23.665753424657535,L,0,17.516666666666666,1,2,0.5,0,1,0.0,2,4,0.5,1,5,6,1,0,0,0,1,4,4.7,-5.0,Jamal Cain,1,1,1.0
612,11/21/2022,23.673972602739727,L,0,24.966666666666665,5,7,0.714,0,0,,0,0,,0,2,2,1,1,0,0,1,10,9.0,0.0,Jamal Cain,5,7,0.7142857142857143
614,11/25/2022,23.684931506849313,W,0,11.55,2,3,0.667,0,0,,0,0,,1,2,3,0,0,0,0,1,4,3.6,-10.0,Jamal Cain,2,3,0.6666666666666666
615,11/27/2022,23.69041095890411,W,0,1.6333333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4.0,Jamal Cain,0,0,
616,11/18/2022,22.35890410958904,L,0,32.2,6,10,0.6,0,2,0.0,2,3,0.667,1,6,7,0,1,1,1,5,14,10.2,-2.0,Orlando Robinson,6,8,0.75
618,10/26/2022,42.38082191780822,W,0,2.2666666666666666,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0.3,-1.0,Udonis Haslem,0,1,0.0
619,10/29/2022,42.38904109589041,L,0,7.95,1,2,0.5,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,3,1.5,-3.0,Udonis Haslem,1,2,0.5
620,10/19/2022,21.145205479452056,L,1,34.11666666666667,8,18,0.444,2,6,0.333,2,2,1.0,1,3,4,5,0,0,5,2,20,9.9,-2.0,Franz Wagner,6,12,0.5
621,10/21/2022,21.15068493150685,L,1,35.63333333333333,4,10,0.4,0,3,0.0,0,0,,3,4,7,3,4,0,3,3,8,7.8,-8.0,Franz Wagner,4,7,0.5714285714285714
622,10/22/2022,21.153424657534245,L,1,34.516666666666666,8,17,0.471,2,6,0.333,0,0,,2,4,6,2,1,0,1,1,18,12.9,-17.0,Franz Wagner,6,11,0.5454545454545454
