,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
510,10/19/2022,33.18630136986302,L,0,13.45,5,6,0.833,1,1,1.0,0,0,,1,2,3,1,0,0,2,5,11,6.8,5.0,Dewayne Dedmon,4,5,0.8
514,10/26/2022,33.205479452054796,W,0,5.25,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,1.0,Dewayne Dedmon,1,1,1.0
515,11/1/2022,33.221917808219175,W,0,10.816666666666666,2,4,0.5,1,3,0.333,4,4,1.0,0,5,5,0,0,0,1,0,9,7.5,7.0,Dewayne Dedmon,1,1,1.0
516,11/2/2022,33.224657534246575,W,0,15.9,4,6,0.667,2,3,0.667,0,0,,2,6,8,3,0,1,1,3,10,11.2,1.0,Dewayne Dedmon,2,3,0.6666666666666666
524,11/21/2022,33.276712328767125,L,0,12.4,3,7,0.429,1,2,0.5,3,4,0.75,1,2,3,3,0,0,0,3,10,8.1,5.0,Dewayne Dedmon,2,5,0.4
525,11/23/2022,33.28219178082192,W,0,12.65,3,5,0.6,0,1,0.0,3,3,1.0,0,2,2,1,0,2,0,1,9,9.0,2.0,Dewayne Dedmon,3,4,0.75
526,11/25/2022,33.28767123287671,W,0,12.7,4,8,0.5,0,0,,1,1,1.0,2,3,5,0,1,0,1,1,9,6.9,2.0,Dewayne Dedmon,4,8,0.5
527,11/27/2022,33.293150684931504,W,0,14.3,6,7,0.857,1,2,0.5,0,2,0.0,1,5,6,0,1,0,1,1,13,11.5,7.0,Dewayne Dedmon,5,5,1.0
528,10/19/2022,26.34794520547945,L,0,16.05,1,4,0.25,0,1,0.0,0,0,,0,0,0,3,0,0,4,1,2,-2.7,7.0,Gabe Vincent,1,3,0.3333333333333333
530,10/22/2022,26.356164383561644,W,0,23.733333333333334,3,7,0.429,1,5,0.2,2,2,1.0,0,7,7,4,0,0,3,2,9,6.4,0.0,Gabe Vincent,2,2,1.0
532,10/26/2022,26.367123287671234,W,0,20.266666666666666,2,5,0.4,0,2,0.0,4,4,1.0,1,0,1,7,0,0,1,0,8,9.9,11.0,Gabe Vincent,2,3,0.6666666666666666
535,11/1/2022,26.383561643835616,W,0,30.983333333333334,2,7,0.286,0,4,0.0,0,0,,3,5,8,3,2,0,2,4,4,4.0,29.0,Gabe Vincent,2,3,0.6666666666666666
536,11/2/2022,26.386301369863013,W,0,28.816666666666666,3,12,0.25,2,7,0.286,2,3,0.667,0,1,1,4,1,0,0,4,10,4.9,8.0,Gabe Vincent,1,5,0.2
537,11/4/2022,26.39178082191781,L,0,25.533333333333335,6,10,0.6,3,6,0.5,0,0,,0,3,3,0,3,0,1,5,15,11.3,1.0,Gabe Vincent,3,4,0.75
539,11/10/2022,26.40821917808219,W,0,37.81666666666667,3,11,0.273,2,7,0.286,4,4,1.0,0,4,4,2,1,0,0,4,12,7.5,2.0,Gabe Vincent,1,4,0.25
543,11/23/2022,26.443835616438356,W,0,18.933333333333334,1,9,0.111,0,6,0.0,0,0,,0,1,1,4,0,0,0,0,2,-0.8,9.0,Gabe Vincent,1,3,0.3333333333333333
544,10/19/2022,28.493150684931507,L,0,10.9,2,4,0.5,1,3,0.333,0,0,,1,3,4,3,0,0,0,1,5,6.3,8.0,Duncan Robinson,1,1,1.0
548,10/26/2022,28.512328767123286,W,0,19.1,2,7,0.286,1,5,0.2,0,0,,0,3,3,3,0,0,1,2,5,2.1,12.0,Duncan Robinson,1,2,0.5
551,11/1/2022,28.528767123287672,W,0,25.683333333333334,6,10,0.6,5,8,0.625,0,0,,0,2,2,3,0,0,2,3,17,11.9,19.0,Duncan Robinson,1,2,0.5
554,11/7/2022,28.545205479452054,L,0,28.516666666666666,3,9,0.333,3,9,0.333,0,0,,0,4,4,3,0,0,1,2,9,5.4,2.0,Duncan Robinson,0,0,
555,11/10/2022,28.553424657534247,W,0,22.566666666666666,5,10,0.5,2,6,0.333,2,3,0.667,0,0,0,1,0,0,0,3,14,8.1,0.0,Duncan Robinson,3,4,0.75
556,11/12/2022,28.55890410958904,W,0,23.15,2,9,0.222,0,6,0.0,1,1,1.0,0,1,1,2,1,0,1,1,5,0.8,5.0,Duncan Robinson,2,3,0.6666666666666666
561,10/21/2022,33.1013698630137,L,1,40.13333333333333,9,17,0.529,0,1,0.0,0,0,,3,4,7,5,1,0,0,0,18,17.5,7.0,Jimmy Butler,9,16,0.5625
562,10/22/2022,33.104109589041094,W,1,34.833333333333336,7,16,0.438,1,1,1.0,9,11,0.818,1,3,4,5,0,0,2,2,24,17.1,6.0,Jimmy Butler,6,15,0.4
564,10/26/2022,33.11506849315069,W,1,27.966666666666665,7,15,0.467,0,3,0.0,3,4,0.75,3,2,5,5,2,0,1,1,17,15.7,11.0,Jimmy Butler,7,12,0.5833333333333334
567,11/1/2022,33.131506849315066,W,1,36.833333333333336,6,17,0.353,2,7,0.286,9,9,1.0,3,3,6,8,0,1,3,1,23,19.4,2.0,Jimmy Butler,4,10,0.4
569,11/10/2022,33.156164383561645,W,1,42.31666666666667,11,19,0.579,0,1,0.0,13,15,0.867,3,7,10,8,2,0,2,2,35,34.3,11.0,Jimmy Butler,11,18,0.6111111111111112
570,11/12/2022,33.16164383561644,W,1,31.3,6,8,0.75,1,2,0.5,7,7,1.0,2,5,7,8,1,0,0,2,20,25.5,13.0,Jimmy Butler,5,6,0.8333333333333334
571,11/14/2022,33.16712328767123,W,1,34.8,5,12,0.417,1,2,0.5,5,5,1.0,4,9,13,7,1,1,0,3,16,20.5,3.0,Jimmy Butler,4,10,0.4
575,10/22/2022,22.753424657534246,W,1,22.283333333333335,4,8,0.5,1,4,0.25,5,5,1.0,2,6,8,6,0,0,2,5,14,13.4,0.0,Tyler Herro,3,4,0.75
577,10/26/2022,22.764383561643836,W,1,28.383333333333333,5,13,0.385,3,8,0.375,1,1,1.0,0,4,4,4,0,0,1,2,14,9.1,10.0,Tyler Herro,2,5,0.4
579,10/29/2022,22.77260273972603,L,1,34.86666666666667,13,22,0.591,5,8,0.625,3,4,0.75,1,2,3,0,0,0,3,1,34,21.3,11.0,Tyler Herro,8,14,0.5714285714285714
581,11/2/2022,22.783561643835615,W,1,37.81666666666667,12,21,0.571,2,6,0.333,0,0,,2,10,12,0,1,3,2,0,26,21.6,15.0,Tyler Herro,10,15,0.6666666666666666
584,11/25/2022,22.846575342465755,W,1,38.65,4,18,0.222,2,10,0.2,1,1,1.0,0,5,5,10,0,1,5,1,11,3.8,8.0,Tyler Herro,2,8,0.25
585,11/27/2022,22.852054794520548,W,1,39.916666666666664,3,13,0.231,0,8,0.0,5,5,1.0,1,10,11,10,1,0,2,3,11,11.6,7.0,Tyler Herro,3,5,0.6
586,10/19/2022,25.86027397260274,L,0,0.4666666666666667,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2.0,Haywood Highsmith,0,0,
591,11/12/2022,25.926027397260274,W,0,1.65,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,Haywood Highsmith,0,0,
594,11/21/2022,25.95068493150685,L,0,19.883333333333333,4,7,0.571,2,3,0.667,2,2,1.0,2,3,5,0,0,0,4,3,12,5.8,7.0,Haywood Highsmith,2,4,0.5
595,11/23/2022,25.956164383561642,W,0,37.8,2,7,0.286,1,4,0.25,0,0,,0,8,8,1,1,0,0,0,5,5.0,16.0,Haywood Highsmith,1,3,0.3333333333333333
596,11/25/2022,25.96164383561644,W,0,33.53333333333333,2,6,0.333,1,2,0.5,1,4,0.25,2,5,7,1,0,1,1,1,6,4.3,4.0,Haywood Highsmith,1,4,0.25
597,11/27/2022,25.96712328767123,W,0,23.133333333333333,0,3,0.0,0,2,0.0,0,0,,1,2,3,2,1,1,1,2,0,0.5,1.0,Haywood Highsmith,0,1,0.0
598,10/26/2022,19.38082191780822,W,0,13.716666666666667,1,3,0.333,0,1,0.0,0,0,,1,1,2,0,1,0,1,5,2,-0.7,3.0,Nikola Jović,1,2,0.5
601,11/12/2022,19.427397260273974,W,0,1.6333333333333333,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,1.7,0.0,Nikola Jović,0,0,
603,11/18/2022,19.443835616438356,L,1,30.233333333333334,4,10,0.4,1,3,0.333,9,10,0.9,2,4,6,0,0,0,0,2,18,14.0,6.0,Nikola Jović,3,7,0.42857142857142855
608,11/12/2022,23.649315068493152,W,0,1.6333333333333333,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,3,3.7,0.0,Jamal Cain,0,0,
611,11/20/2022,23.671232876712327,L,0,11.9,4,6,0.667,0,0,,0,0,,1,0,1,1,1,0,1,2,8,6.0,1.0,Jamal Cain,4,6,0.6666666666666666
612,11/21/2022,23.673972602739727,L,0,24.966666666666665,5,7,0.714,0,0,,0,0,,0,2,2,1,1,0,0,1,10,9.0,0.0,Jamal Cain,5,7,0.7142857142857143
613,11/23/2022,23.67945205479452,W,0,17.716666666666665,2,6,0.333,0,2,0.0,2,2,1.0,4,2,6,2,2,0,1,3,6,7.2,8.0,Jamal Cain,2,4,0.5
617,11/20/2022,22.364383561643837,L,0,7.883333333333333,0,3,0.0,0,1,0.0,0,0,,1,1,2,1,1,0,0,0,0,0.6,4.0,Orlando Robinson,0,2,0.0
623,10/24/2022,21.15890410958904,L,1,35.96666666666667,5,15,0.333,1,6,0.167,3,4,0.75,3,3,6,5,0,0,2,3,14,8.4,4.0,Franz Wagner,4,9,0.4444444444444444
624,10/26/2022,21.164383561643834,L,1,34.7,10,20,0.5,0,4,0.0,2,3,0.667,2,3,5,5,1,1,5,3,22,12.9,2.0,Franz Wagner,10,16,0.625
625,10/28/2022,21.16986301369863,W,1,23.383333333333333,5,8,0.625,1,3,0.333,2,2,1.0,0,1,1,4,1,0,2,0,13,11.5,23.0,Franz Wagner,4,5,0.8
627,11/1/2022,21.18082191780822,L,1,36.71666666666667,8,18,0.444,1,5,0.2,3,3,1.0,0,1,1,7,1,2,2,2,20,15.4,12.0,Franz Wagner,7,13,0.5384615384615384
628,11/3/2022,21.186301369863013,W,1,36.63333333333333,7,12,0.583,1,1,1.0,4,5,0.8,0,3,3,2,0,0,4,2,19,10.5,2.0,Franz Wagner,6,11,0.5454545454545454
629,11/5/2022,21.19178082191781,L,1,40.483333333333334,13,22,0.591,1,5,0.2,4,5,0.8,0,3,3,6,3,0,2,4,31,24.9,3.0,Franz Wagner,12,17,0.7058823529411765
630,11/7/2022,21.197260273972603,L,1,32.8,9,12,0.75,3,4,0.75,2,2,1.0,2,3,5,7,0,0,2,2,23,22.6,2.0,Franz Wagner,6,8,0.75
631,11/9/2022,21.202739726027396,W,1,33.11666666666667,9,17,0.529,0,3,0.0,4,4,1.0,0,3,3,6,0,0,3,2,22,15.0,13.0,Franz Wagner,9,14,0.6428571428571429
632,11/11/2022,21.208219178082192,W,1,30.666666666666668,7,15,0.467,0,3,0.0,3,4,0.75,1,5,6,3,0,0,2,3,17,10.0,5.0,Franz Wagner,7,12,0.5833333333333334
635,11/18/2022,21.22739726027397,W,1,33.11666666666667,5,9,0.556,2,3,0.667,8,9,0.889,0,3,3,8,1,0,3,6,20,17.4,11.0,Franz Wagner,3,6,0.5
