Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player
11/6/2022,27-132,L (-6),1,33:09:00,7,12,0.583,2,5,0.4,2,2,1,0,0,0,1,1,0,0,1,18,13.7,-9,Monte Morris
11/7/2022,27-133,W (+8),1,32:27:00,3,7,0.429,1,1,1,1,2,0.5,2,3,5,2,0,1,1,1,8,6.9,4,Monte Morris
11/10/2022,27-136,W (+8),1,19:22,3,6,0.5,0,1,0,0,0,,0,1,1,3,0,0,1,2,6,3.6,-4,Monte Morris
11/12/2022,27-138,W (+9),1,29:11:00,2,9,0.222,1,3,0.333,0,0,,1,6,7,9,0,0,0,1,5,7.9,15,Monte Morris
11/13/2022,27-139,W (+10),1,27:22:00,4,10,0.4,1,4,0.25,1,2,0.5,1,5,6,6,2,1,2,0,10,11.3,3,Monte Morris
11/16/2022,27-142,L (-1),1,27:16:00,4,7,0.571,3,5,0.6,0,0,,0,3,3,4,2,0,0,3,11,12.2,24,Monte Morris
11/18/2022,27-144,W (+1),1,26:22:00,3,8,0.375,0,5,0,0,0,,0,5,5,5,0,0,0,2,6,5.8,1,Monte Morris
11/27/2022,27-153,L (-9),1,23:41,6,8,0.75,4,5,0.8,0,0,,0,3,3,8,0,0,0,2,16,18.5,-3,Monte Morris
10/19/2022,24-253,W (+7),0,24:00:00,3,7,0.429,1,1,1,0,0,,1,4,5,0,0,1,3,2,7,2.1,-6,Rui Hachimura
10/21/2022,24-255,W (+2),0,23:59,4,9,0.444,0,2,0,4,4,1,1,3,4,1,0,0,2,0,12,7.6,-17,Rui Hachimura
10/23/2022,24-257,L (-10),0,20:19,7,12,0.583,2,3,0.667,0,0,,1,2,3,1,0,0,1,1,16,11,-5,Rui Hachimura
10/25/2022,24-259,W (+21),0,26:48:00,4,8,0.5,0,1,0,2,2,1,0,4,4,1,0,0,1,0,10,6.9,-5,Rui Hachimura
10/28/2022,24-262,L (-10),0,24:59:00,3,7,0.429,0,1,0,4,6,0.667,1,4,5,0,0,1,1,2,10,6.3,-19,Rui Hachimura
10/30/2022,24-264,L (-18),0,22:28,5,12,0.417,1,4,0.25,2,4,0.5,3,6,9,3,0,1,1,1,13,11.1,-17,Rui Hachimura
10/31/2022,24-265,L (-7),0,17:55,4,9,0.444,0,2,0,2,2,1,1,5,6,0,2,1,2,0,10,8.2,-18,Rui Hachimura
11/2/2022,24-267,W (+10),0,32:53:00,5,13,0.385,0,2,0,0,0,,2,8,10,4,0,1,1,2,10,8.4,14,Rui Hachimura
11/4/2022,24-269,L (-42),0,17:41,1,5,0.2,0,1,0,0,0,,0,2,2,0,0,1,1,1,2,-1.2,-22,Rui Hachimura
11/6/2022,24-271,L (-6),0,22:17,7,12,0.583,1,3,0.333,0,1,0,1,2,3,0,0,0,1,2,15,8.5,0,Rui Hachimura
11/7/2022,24-272,W (+8),0,26:18:00,6,12,0.5,0,0,,4,7,0.571,0,3,3,0,0,1,2,1,16,8,10,Rui Hachimura
11/10/2022,24-275,W (+8),0,25:49:00,9,14,0.643,2,4,0.5,3,3,1,0,8,8,0,0,0,4,2,23,14.4,20,Rui Hachimura
11/12/2022,24-277,W (+9),0,28:32:00,5,12,0.417,1,4,0.25,0,0,,0,4,4,1,0,1,1,1,11,5.8,-9,Rui Hachimura
11/13/2022,24-278,W (+10),0,15:27,1,7,0.143,1,2,0.5,0,0,,0,2,2,1,0,0,0,1,3,-0.6,5,Rui Hachimura
11/16/2022,24-281,L (-1),0,17:41,6,8,0.75,2,3,0.667,0,0,,0,1,1,2,3,0,0,0,14,15.5,-3,Rui Hachimura
11/18/2022,24-283,W (+1),0,28:25:00,6,11,0.545,1,3,0.333,0,0,,1,7,8,3,0,0,1,2,13,10.8,-2,Rui Hachimura
10/19/2022,30-002,W (+7),0,15:26,1,3,0.333,0,1,0,0,0,,0,2,2,0,0,1,0,3,2,0.4,0,Anthony Gill
10/21/2022,30-004,W (+2),0,10:37,1,1,1,0,0,,0,0,,0,1,1,1,0,0,0,2,2,1.9,2,Anthony Gill
10/23/2022,30-006,L (-10),0,10:03,1,3,0.333,0,2,0,0,0,,0,2,2,0,0,0,0,1,2,0.5,-9,Anthony Gill
10/25/2022,30-008,W (+21),0,6:31,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1.3,7,Anthony Gill
10/28/2022,30-011,L (-10),0,4:07,1,1,1,1,1,1,0,0,,1,0,1,1,0,0,0,1,3,3.7,3,Anthony Gill
10/30/2022,30-013,L (-18),0,18:41,4,6,0.667,0,1,0,2,2,1,3,2,5,2,1,0,0,2,10,11.7,8,Anthony Gill
10/31/2022,30-014,L (-7),1,25:59:00,5,10,0.5,1,3,0.333,0,0,,2,2,4,2,0,0,2,0,11,7.4,7,Anthony Gill
11/2/2022,30-016,W (+10),1,16:43,1,1,1,0,0,,0,0,,0,2,2,0,0,0,0,2,2,1.5,2,Anthony Gill
11/4/2022,30-018,L (-42),1,28:25:00,4,6,0.667,0,0,,0,0,,3,1,4,0,1,0,0,2,8,8,-16,Anthony Gill
11/6/2022,30-020,L (-6),0,2:36,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,6,Anthony Gill
11/7/2022,30-021,W (+8),0,16:59,2,3,0.667,0,0,,2,2,1,1,0,1,1,0,0,0,3,6,4.9,-10,Anthony Gill
11/10/2022,30-024,W (+8),1,15:23,1,2,0.5,0,0,,0,0,,0,2,2,1,0,0,0,4,2,0.7,-7,Anthony Gill
11/12/2022,30-026,W (+9),0,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-4,Anthony Gill
11/23/2022,30-037,L (-8),0,12:31,1,1,1,0,0,,0,0,,0,1,1,0,1,2,2,2,2,1.6,2,Anthony Gill
11/25/2022,30-039,L (-3),0,12:55,1,1,1,0,0,,0,0,,1,2,3,1,0,1,0,0,2,4.4,-1,Anthony Gill
11/27/2022,30-041,L (-9),0,14:50,1,2,0.5,0,1,0,3,5,0.6,1,2,3,0,0,0,0,2,5,3.7,13,Anthony Gill
10/19/2022,29-113,W (+7),1,37:31:00,9,17,0.529,2,7,0.286,3,3,1,2,3,5,6,0,1,3,2,23,18.1,8,Bradley Beal
10/21/2022,29-115,W (+2),1,36:39:00,9,14,0.643,1,2,0.5,0,0,,0,1,1,8,0,2,5,2,19,14.3,4,Bradley Beal
10/23/2022,29-117,L (-10),1,41:35:00,11,16,0.688,0,1,0,5,7,0.714,1,3,4,5,2,0,6,3,27,19.3,-5,Bradley Beal
10/25/2022,29-119,W (+21),1,21:49,4,9,0.444,1,4,0.25,4,4,1,1,3,4,6,0,0,2,2,13,11.3,5,Bradley Beal
10/28/2022,29-122,L (-10),1,37:13:00,11,18,0.611,2,5,0.4,7,7,1,2,5,7,4,3,1,2,3,31,29,-10,Bradley Beal
10/30/2022,29-124,L (-18),1,37:22:00,4,16,0.25,2,7,0.286,2,2,1,0,1,1,8,1,1,1,0,12,9,-13,Bradley Beal
10/31/2022,29-125,L (-7),1,37:51:00,7,18,0.389,2,6,0.333,4,4,1,0,5,5,6,0,1,4,3,20,11.4,0,Bradley Beal
11/2/2022,29-127,W (+10),1,36:30:00,11,17,0.647,1,2,0.5,6,7,0.857,0,2,2,5,0,0,1,2,29,23.4,6,Bradley Beal
11/4/2022,29-129,L (-42),1,29:36:00,8,18,0.444,2,6,0.333,2,2,1,0,3,3,3,2,1,0,1,20,15.9,-19,Bradley Beal
11/16/2022,29-141,L (-1),1,37:01:00,9,19,0.474,2,4,0.5,5,5,1,2,4,6,6,1,1,1,1,25,22.4,10,Bradley Beal
