"season","Cleaned_Team","playoffs","W","SRS","Pace","Rel.Pace","ORtg","Rel.ORtg","DRtg","Rel.DRtg","No_of_Awards"
"1983-84","Milwaukee Bucks","Lost E. Conf. Finals","50","4.04","96.9","-4.5","107.8","0.2","103.6","-4","1"
"1984-85","Boston Celtics","Lost Finals","63","6.47","101.6","-0.5","112.8","4.9","106.3","-1.6","2"
"1984-85","Chicago Bulls","Lost E. Conf. 1st Rnd.","38","-0.5","99.4","-2.7","108.7","0.8","109.6","1.7","1"
"1985-86","Boston Celtics","Won Finals","67","9.06","101.2","-0.9","111.8","4.6","102.6","-4.6","2"
"1985-86","New York Knicks","","23","-4.82","98.6","-3.5","99.5","-7.7","105.2","-2","1"
"1986-87","Indiana Pacers","Lost E. Conf. 1st Rnd.","41","-0.17","98.8","-2","106","-2.3","106.6","-1.7","1"
"1986-87","Los Angeles Lakers","Won Finals","65","8.32","101.6","0.8","115.6","7.3","106.5","-1.8","2"
"1986-87","Milwaukee Bucks","Lost E. Conf. Semis","50","4.04","100.3","-0.5","109.5","1.2","105.6","-2.7","1"
"1986-87","Seattle SuperSonics","Lost W. Conf. Finals","39","0.08","101.8","1","110.7","2.4","110.3","2","1"
"1987-88","Chicago Bulls","Lost E. Conf. Semis","50","3.76","95.5","-4.1","109","1","105.5","-2.5","2"
"1987-88","Dallas Mavericks","Lost W. Conf. Finals","53","3.59","97","-2.6","112.2","4.2","107.7","-0.3","1"
"1987-88","New York Knicks","Lost E. Conf. 1st Rnd.","38","0.14","99.1","-0.5","105.9","-2.1","106.4","-1.6","1"
"1987-88","Portland Trail Blazers","Lost W. Conf. 1st Rnd.","53","3.59","103.6","4","111.8","3.8","107.4","-0.6","1"
"1988-89","Golden State Warriors","Lost W. Conf. Semis","43","-0.59","107.3","6.7","107.4","-0.4","107.7","-0.1","1"
"1988-89","Los Angeles Lakers","Lost Finals","57","6.38","100.1","-0.5","113.8","6","106.7","-1.1","1"
"1988-89","Phoenix Suns","Lost W. Conf. Finals","55","6.84","104.5","3.9","113.1","5.3","105.7","-2.1","2"
"1989-90","Detroit Pistons","Won Finals","59","5.41","94.4","-3.9","109.9","1.8","103.5","-4.6","1"
"1989-90","Los Angeles Lakers","Lost W. Conf. Semis","63","6.74","96.3","-2","114","5.9","107","-1.1","1"
"1989-90","Miami Heat","","18","-9.59","101","2.7","99.3","-8.8","108.9","0.8","1"
"1989-90","Milwaukee Bucks","Lost E. Conf. 1st Rnd.","44","-1.06","98","-0.3","107.3","-0.8","108.1","0","1"
"1990-91","Chicago Bulls","Won Finals","61","8.57","95.6","-2.2","114.6","6.7","105.2","-2.7","1"
"1990-91","Detroit Pistons","Lost E. Conf. Finals","50","3.08","91.9","-5.9","108.2","0.3","104.6","-3.3","1"
"1990-91","Indiana Pacers","Lost E. Conf. 1st Rnd.","41","-0.37","99.4","1.6","111.7","3.8","112.1","4.2","1"
"1990-91","New Jersey Nets","","26","-4.53","99.3","1.5","102.9","-5","107.4","-0.5","1"
"1990-91","Orlando Magic","","31","-3.79","99.5","1.7","105.9","-2","109.9","2","1"
"1991-92","Chicago Bulls","Won Finals","67","10.07","94.4","-2.2","115.5","7.3","104.5","-3.7","1"
"1991-92","Indiana Pacers","Lost E. Conf. 1st Rnd.","40","1.85","99","2.4","111.7","3.5","109.9","1.7","1"
"1992-93","Denver Nuggets","","36","-2.14","99.8","3","104.6","-3.4","106.3","-1.7","2"
"1992-93","Houston Rockets","Lost W. Conf. Semis","55","3.57","94.4","-2.4","109.6","1.6","105.2","-2.8","1"
"1992-93","Orlando Magic","","41","1.35","96.3","-0.5","108.5","0.5","107.1","-0.9","1"
"1992-93","Phoenix Suns","Lost Finals","62","6.27","99.8","3","113.3","5.3","106.7","-1.3","1"
"1992-93","Portland Trail Blazers","Lost W. Conf. 1st Rnd.","51","2.92","99.1","2.3","108.3","0.3","105.2","-2.8","1"
"1993-94","Golden State Warriors","Lost W. Conf. 1st Rnd.","50","1.76","99.1","4","108.3","2","106.5","0.2","1"
"1993-94","Houston Rockets","Won Finals","58","4.19","95","-0.1","105.9","-0.4","101.4","-4.9","2"
"1994-95","Dallas Mavericks","","36","-2.39","94.7","1.8","107.6","-0.7","110.6","2.3","1"
"1994-95","Denver Nuggets","Lost W. Conf. 1st Rnd.","41","0.96","91.5","-1.4","109.1","0.8","108.2","-0.1","2"
"1994-95","Detroit Pistons","","28","-7.08","93.2","0.3","105.1","-3.2","112.9","4.6","1"
"1994-95","New York Knicks","Lost E. Conf. Semis","55","2.78","91.2","-1.7","107.2","-1.1","103.8","-4.5","1"
"1994-95","Philadelphia 76ers","","24","-5.06","91","-1.9","104.1","-4.2","109.7","1.4","1"
"1995-96","Chicago Bulls","Won Finals","72","11.8","91.1","-0.7","115.2","7.6","101.8","-5.8","2"
"1995-96","Seattle SuperSonics","Lost Finals","64","7.4","93.8","2","110.3","2.7","102.1","-5.5","1"
"1995-96","Toronto Raptors","","21","-7.2","93.2","1.4","103.8","-3.8","111.8","4.2","1"
"1996-97","Atlanta Hawks","Lost E. Conf. Semis","56","5.52","86.8","-3.3","108.5","1.8","102.3","-4.4","1"
"1996-97","Miami Heat","Lost E. Conf. Finals","61","5.56","88.2","-1.9","106.8","0.1","100.6","-6.1","1"
"1996-97","New York Knicks","Lost E. Conf. Semis","57","3.31","90.5","0.4","104.4","-2.3","101","-5.7","1"
"1996-97","Philadelphia 76ers","","22","-5.89","95.3","5.2","104.6","-2.1","111.4","4.7","1"
"1997-98","Atlanta Hawks","Lost E. Conf. 1st Rnd.","50","3.85","87.7","-2.6","108.2","3.2","104.3","-0.7","2"
"1997-98","Chicago Bulls","Won Finals","62","7.24","89","-1.3","107.7","2.7","99.8","-5.2","1"
"1997-98","Phoenix Suns","Lost W. Conf. 1st Rnd.","56","4.44","91.4","1.1","107.4","2.4","101.8","-3.2","1"
"1998-99","Miami Heat","Lost E. Conf. 1st Rnd.","33","5.11","84.8","-4.1","104.7","2.5","98.9","-3.3","1"
"1998-99","Orlando Magic","Lost E. Conf. 1st Rnd.","33","3.11","88.8","-0.1","100.3","-1.9","97.4","-4.8","2"
"1998-99","Toronto Raptors","","23","-1.32","88.8","-0.1","102","-0.2","103.9","1.7","1"
"1999-00","Chicago Bulls","","17","-9.23","89.4","-3.7","94.2","-9.9","104.6","0.5","1"
"1999-00","Houston Rockets","","34","-0.57","94.2","1.1","104.8","0.7","105.7","1.6","1"
"1999-00","Indiana Pacers","Lost Finals","56","4.15","93.1","0","108.5","4.4","103.6","-0.5","1"
"1999-00","Los Angeles Lakers","Won Finals","67","8.41","93.3","0.2","107.3","3.2","98.2","-5.9","1"
"1999-00","Miami Heat","Lost E. Conf. Semis","52","2.75","89.7","-3.4","104.5","0.4","101","-3.1","1"
"1999-00","Phoenix Suns","Lost W. Conf. Semis","53","5.24","94","0.9","104.6","0.5","99","-5.1","1"
"2000-01","Orlando Magic","Lost E. Conf. 1st Rnd.","43","0.39","93.2","1.9","103.2","0.2","102.1","-0.9","2"
"2000-01","Philadelphia 76ers","Lost Finals","56","3.64","90.6","-0.7","103.6","0.6","98.9","-4.1","2"
"2001-02","Detroit Pistons","Lost E. Conf. Semis","50","1.69","90","-0.7","104.8","0.3","102.4","-2.1","2"
"2001-02","Indiana Pacers","Lost E. Conf. 1st Rnd.","42","-0.07","91.9","1.2","104.1","-0.4","103.8","-0.7","1"
"2001-02","Memphis Grizzlies","","23","-6.74","91.1","0.4","98.2","-6.3","106.3","1.8","1"
"2002-03","Detroit Pistons","Lost E. Conf. Finals","50","2.97","86.8","-4.2","104.1","0.5","99.9","-3.7","1"
