"season","Cleaned_Team","playoffs","W","SRS","Pace","Rel.Pace","ORtg","Rel.ORtg","DRtg","Rel.DRtg","No_of_Awards"
"1987-88","New Jersey Nets","","19","-6.98","98.6","-1","101.4","-6.6","109.6","1.6","0"
"1986-87","New Jersey Nets","","24","-4.42","101.8","1","105.6","-2.7","110.5","2.2","0"
"1985-86","New Jersey Nets","Lost E. Conf. 1st Rnd.","39","-1.39","103.3","1.2","105","-2.2","106.9","-0.3","0"
"1984-85","New Jersey Nets","Lost E. Conf. 1st Rnd.","42","0.64","101","-1.1","107.9","0","107.7","-0.2","0"
"1983-84","New Jersey Nets","Lost E. Conf. Semis","45","1.27","103","1.6","106.1","-1.5","105","-2.6","0"
"1982-83","New Jersey Nets","Lost E. Conf. 1st Rnd.","49","2.77","104","0.9","101.6","-3.1","98.9","-5.8","0"
"1980-81","New Jersey Nets","","24","-5.15","105.2","3.4","101","-4.5","106.7","1.2","0"
"1979-80","New Jersey Nets","","34","-0.98","106.1","3","101.5","-3.8","102.5","-2.8","0"
"1978-79","New Jersey Nets","Lost E. Conf. 1st Rnd.","37","-4","109.5","3.7","98","-5.8","101.8","-2","0"
"1977-78","New Jersey Nets","","24","-5.61","110.9","4.2","95","-5.9","100.2","-0.7","0"
"1976-77","New York Nets","","22","-6.54","103.7","-2.8","92.2","-7.3","98.7","-0.8","0"
"2022-23","Cleveland Cavaliers","","6","14.16","96.8","-2.9","115.8","3.7","105.5","-6.6","0"
"2021-22","Cleveland Cavaliers","","44","2.04","96.1","-2.1","111.9","-0.1","109.7","-2.3","0"
"2020-21","Cleveland Cavaliers","","22","-8.19","97.3","-1.9","105.8","-6.5","114.4","2.1","0"
"2019-20","Cleveland Cavaliers","","19","-7.77","98.7","-1.6","107.5","-3.1","115.4","4.8","0"
"2018-19","Cleveland Cavaliers","","19","-9.39","96.6","-3.4","107.7","-2.7","117.6","7.2","0"
"2017-18","Cleveland Cavaliers","Lost Finals","50","0.59","98","0.7","112.9","4.3","111.9","3.3","0"
"2016-17","Cleveland Cavaliers","Lost Finals","51","2.87","96.2","-0.2","113.6","4.8","110.3","1.5","0"
"2015-16","Cleveland Cavaliers","Won Finals","57","5.45","93.3","-2.5","110.9","4.5","104.5","-1.9","0"
"2014-15","Cleveland Cavaliers","Lost Finals","53","4.08","92.3","-1.6","111.1","5.5","106.3","0.7","0"
"2013-14","Cleveland Cavaliers","","33","-3.86","93.1","-0.8","104.2","-2.5","107.7","1","0"
"2012-13","Cleveland Cavaliers","","24","-4.87","92.3","0.3","104.3","-1.6","109.4","3.5","0"
"2010-11","Cleveland Cavaliers","","19","-8.88","93","0.9","102.2","-5.1","111.8","4.5","0"
"2007-08","Cleveland Cavaliers","Lost E. Conf. Semis","45","-0.53","90.2","-2.2","106","-1.5","106.4","-1.1","0"
"2006-07","Cleveland Cavaliers","Lost Finals","50","3.33","90.8","-1.1","105.5","-1","101.3","-5.2","0"
"2005-06","Cleveland Cavaliers","Lost E. Conf. Semis","50","2.17","89.8","-0.7","107.8","1.6","105.4","-0.8","0"
"2004-05","Cleveland Cavaliers","","42","0.27","89.7","-1.2","106.6","0.5","105.7","-0.4","0"
"2002-03","Cleveland Cavaliers","","17","-9.59","94","3","96.5","-7.1","106.7","3.1","0"
"2001-02","Cleveland Cavaliers","","29","-3.52","90.3","-0.4","104.6","0.1","108.2","3.7","0"
"2000-01","Cleveland Cavaliers","","30","-4.48","91.2","-0.1","100.3","-2.7","104.9","1.9","0"
"1999-00","Cleveland Cavaliers","","32","-3.64","95.7","2.6","100.4","-3.7","104","-0.1","0"
"1998-99","Cleveland Cavaliers","","22","-0.94","86.4","-2.5","99.6","-2.6","101.6","-0.6","0"
"1997-98","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","47","3.06","89.9","-0.4","102.2","-2.8","99.1","-5.9","0"
"1996-97","Cleveland Cavaliers","","42","2.32","82.9","-7.2","104.6","-2.1","102.4","-4.3","0"
"1995-96","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","47","2.49","82.3","-9.5","109.9","2.3","106.7","-0.9","0"
"1994-95","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","43","0.55","84.8","-8.1","105.3","-3","104.6","-3.7","0"
"1993-94","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","47","3.64","91.7","-3.4","109.4","3.1","105.1","-1.2","0"
"1992-93","Cleveland Cavaliers","Lost E. Conf. Semis","54","6.3","94.8","-2","112.7","4.7","106","-2","0"
"1991-92","Cleveland Cavaliers","Lost E. Conf. Finals","57","5.34","95","-1.6","113.9","5.7","108.2","0","0"
"1990-91","Cleveland Cavaliers","","33","-2.33","95.1","-2.7","106.1","-1.8","108.7","0.8","0"
"1989-90","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","42","-0.62","95","-3.3","106.9","-1.2","107.2","-0.9","0"
"1988-89","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","57","7.95","98","-2.6","110.6","2.8","102.9","-4.9","0"
"1987-88","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","42","1.28","97.3","-2.3","106.8","-1.2","106","-2","0"
"1986-87","Cleveland Cavaliers","","31","-3.19","101.3","0.5","102.6","-5.7","106.4","-1.9","0"
"1985-86","Cleveland Cavaliers","","29","-2.19","101.6","-0.5","105.5","-1.7","108.3","1.1","0"
"1984-85","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","36","-2.27","101.9","-0.2","106","-1.9","108.7","0.8","0"
"1983-84","Cleveland Cavaliers","","28","-3.71","97.4","-4","104.1","-3.5","108.5","0.9","0"
"1982-83","Cleveland Cavaliers","","23","-6.78","97.6","-5.5","99.2","-5.5","106.8","2.1","0"
"1981-82","Cleveland Cavaliers","","15","-7.77","99.3","-1.6","103.3","-3.6","111.8","4.9","0"
"1980-81","Cleveland Cavaliers","","28","-4.15","100.8","-1","104.3","-1.2","109.1","3.6","0"
"1979-80","Cleveland Cavaliers","","37","0.43","105.6","2.5","106.7","1.4","106.4","1.1","0"
"1978-79","Cleveland Cavaliers","","30","-3.57","102.7","-3.1","103.7","-0.1","107.3","3.5","0"
"1977-78","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","43","0.44","103.5","-3.2","99.9","-1","99.4","-1.5","0"
"1976-77","Cleveland Cavaliers","Lost E. Conf. 1st Rnd.","43","1.08","101.5","-5","100","0.5","98.9","-0.6","0"
"1975-76","Cleveland Cavaliers","Lost E. Conf. Finals","49","2.34","101.6","-3.9","99.5","1.2","97","-1.3","0"
"1974-75","Cleveland Cavaliers","","40","-0.31","100.4","-4.1","97.6","-0.1","98","0.3","0"
"1973-74","Cleveland Cavaliers","","29","-4.16","104.1","-3.7","96","-1.7","100.1","2.4","0"
"1972-73","Cleveland Cavaliers","","32","-2.64","108.3","-2.4","94","-2.8","96.5","-0.3","0"
"1971-72","Cleveland Cavaliers","","23","-7.9","111.5","-0.5","94.5","-3.4","101.4","3.5","0"
"1970-71","Cleveland Cavaliers","","15","-12.04","110.6","-4.5","92.3","-4.9","102.4","5.2","0"
"2022-23","Chicago Bulls","","5","4.14","100.3","0.6","111.1","-1","108.5","-3.6","0"
"2021-22","Chicago Bulls","Lost E. Conf. 1st Rnd.","46","-0.38","98.3","0.1","113.2","1.2","113.6","1.6","0"
"2020-21","Chicago Bulls","","31","-0.94","99","-0.2","111.1","-1.2","112","-0.3","0"
"2019-20","Chicago Bulls","","22","-4","99.7","-0.6","106.7","-3.9","109.8","-0.8","0"
"2018-19","Chicago Bulls","","22","-8.32","99","-1","104.8","-5.6","113.2","2.8","0"
"2017-18","Chicago Bulls","","27","-6.84","98.3","1","103.8","-4.8","110.9","2.3","0"
"2016-17","Chicago Bulls","Lost E. Conf. 1st Rnd.","41","0.03","95.3","-1.1","107.4","-1.4","107","-1.8","0"
"2015-16","Chicago Bulls","","42","-1.46","95.7","-0.1","105","-1.4","106.5","0.1","0"
"2012-13","Chicago Bulls","Lost E. Conf. Semis","45","-0.02","89.3","-2.7","103.5","-2.4","103.2","-2.7","0"
"2011-12","Chicago Bulls","Lost E. Conf. 1st Rnd.","50","7.43","89.1","-2.2","107.4","2.8","98.3","-6.3","0"
"2009-10","Chicago Bulls","Lost E. Conf. 1st Rnd.","41","-1.64","93.1","0.4","103.5","-4.1","105.3","-2.3","0"
"2007-08","Chicago Bulls","","33","-3.19","93","0.6","103.9","-3.6","107.2","-0.3","0"
"2006-07","Chicago Bulls","Lost E. Conf. Semis","49","4.52","93.6","1.7","104.9","-1.6","99.6","-6.9","0"
"2005-06","Chicago Bulls","Lost E. Conf. 1st Rnd.","41","0.51","92.9","2.4","104","-2.2","103.4","-2.8","0"
"2003-04","Chicago Bulls","","23","-6.69","92.2","2.1","96.6","-6.3","103.4","0.5","0"
"2002-03","Chicago Bulls","","30","-5.31","93.5","2.5","100.2","-3.4","105.6","2","0"
"2001-02","Chicago Bulls","","21","-8.52","90.5","-0.2","98.2","-6.3","107.6","3.1","0"
"2000-01","Chicago Bulls","","15","-9.09","89.3","-2","97.2","-5.8","107.3","4.3","0"
"1998-99","Chicago Bulls","","13","-8.58","88.1","-0.8","92.4","-9.8","103","0.8","0"
"1996-97","Chicago Bulls","Won Finals","69","10.7","90","-0.1","114.4","7.7","102.4","-4.3","0"
"1994-95","Chicago Bulls","Lost E. Conf. Semis","47","4.32","92","-0.9","109.5","1.2","104.3","-4","0"
"1993-94","Chicago Bulls","Lost E. Conf. Semis","55","2.87","91.9","-3.2","106.1","-0.2","102.7","-3.6","0"
"1992-93","Chicago Bulls","Won Finals","57","6.19","92.5","-4.3","112.9","4.9","106.1","-1.9","0"
"1989-90","Chicago Bulls","Lost E. Conf. Finals","55","2.74","96.7","-1.6","112.3","4.2","109","0.9","0"
"1988-89","Chicago Bulls","Lost E. Conf. Finals","47","2.13","97","-3.6","109.1","1.3","107.7","-0.1","0"
"1986-87","Chicago Bulls","Lost E. Conf. 1st Rnd.","40","1.26","95.8","-5","108.6","0.3","107.6","-0.7","0"
"1985-86","Chicago Bulls","Lost E. Conf. 1st Rnd.","30","-3.12","99.7","-2.4","108.6","1.4","112.4","5.2","0"
"1983-84","Chicago Bulls","","27","-4.69","99.8","-1.6","102.4","-5.2","107.5","-0.1","0"
"1982-83","Chicago Bulls","","28","-4.41","106.1","3","103.4","-1.3","108","3.3","0"
"1981-82","Chicago Bulls","","34","-1.57","99","-1.9","106.6","-0.3","108.6","1.7","0"
"1980-81","Chicago Bulls","Lost E. Conf. Semis","45","2.34","100.6","-1.2","107.8","2.3","105.8","0.3","0"
"1979-80","Chicago Bulls","","30","-2.63","101.8","-1.3","104.3","-1","107","1.7","0"
"1978-79","Chicago Bulls","","31","-3.78","102.9","-2.9","101.3","-2.5","105.1","1.3","0"
"1977-78","Chicago Bulls","","40","-0.79","101.5","-5.2","102","1.1","102.9","2","0"
"1976-77","Chicago Bulls","Lost W. Conf. 1st Rnd.","44","0.92","100","-6.5","98.3","-1.2","97.4","-2.1","0"
"1975-76","Chicago Bulls","","24","-2.89","100.3","-5.2","95.2","-3.1","98","-0.3","0"
"1974-75","Chicago Bulls","Lost W. Conf. Finals","47","2.88","99.7","-4.8","97.4","-0.3","94.4","-3.3","0"
"1973-74","Chicago Bulls","Lost W. Conf. Finals","54","3.2","105","-2.8","96.7","-1","93.6","-4.1","0"
"1972-73","Chicago Bulls","Lost W. Conf. Semis","51","3.43","104.5","-6.2","98.9","2.1","95.6","-1.2","0"
"1971-72","Chicago Bulls","Lost W. Conf. Semis","57","7.91","108.6","-3.4","101.9","4","94.3","-3.6","0"
"1970-71","Chicago Bulls","Lost W. Conf. Semis","51","5.47","109.7","-5.4","100.5","3.3","95.7","-1.5","0"
"1969-70","Chicago Bulls","Lost W. Div. Semis","39","-1.71","116.5","-0.6","97.6","-1.4","99.1","0.1","0"
"1968-69","Chicago Bulls","","33","-2.11","113.4","-3.5","92","-3.5","94","-1.5","0"
"1967-68","Chicago Bulls","Lost W. Div. Semis","29","-3.76","115.7","-4.1","94.1","-2.7","97.5","0.7","0"
"1966-67","Chicago Bulls","Lost W. Div. Semis","33","-3.37","122.2","0.6","92.3","-3.8","95.4","-0.7","0"
"2022-23","Indiana Pacers","","3","-3.51","101.9","2.2","115.4","3.3","117.6","5.5","0"
"2021-22","Indiana Pacers","","25","-3.26","98","-0.2","112.6","0.6","116.1","4.1","0"
"2020-21","Indiana Pacers","","34","-0.13","101.6","2.4","112.4","0.1","112.4","0.1","0"
"2019-20","Indiana Pacers","Lost E. Conf. 1st Rnd.","45","1.63","98.9","-1.4","110","-0.6","108","-2.6","0"
"2018-19","Indiana Pacers","Lost E. Conf. 1st Rnd.","48","2.76","98.1","-1.9","109.9","-0.5","106.5","-3.9","0"
"2016-17","Indiana Pacers","Lost E. Conf. 1st Rnd.","42","-0.64","95.9","-0.5","108.6","-0.2","108.8","0","0"
"2015-16","Indiana Pacers","Lost E. Conf. 1st Rnd.","45","1.62","96.6","0.8","104.6","-1.8","102.9","-3.5","0"
"2014-15","Indiana Pacers","","38","-0.23","93.2","-0.7","103.5","-2.1","103.2","-2.4","0"
"2013-14","Indiana Pacers","Lost E. Conf. Finals","56","3.63","92.5","-1.4","104.1","-2.6","99.3","-7.4","0"
"2011-12","Indiana Pacers","Lost E. Conf. Semis","42","2.6","90.7","-0.6","106.7","2.1","103.1","-1.5","0"
"2010-11","Indiana Pacers","Lost E. Conf. 1st Rnd.","37","-1.38","94.7","2.6","104.8","-2.5","106","-1.3","0"
"2009-10","Indiana Pacers","","32","-3.11","97.1","4.4","103.7","-3.9","106.8","-0.8","0"
"2007-08","Indiana Pacers","","36","-1.87","97.7","5.3","106","-1.5","107.5","0","0"
"2006-07","Indiana Pacers","","35","-2.62","92.4","0.5","102.9","-3.6","105.5","-1","0"
"2005-06","Indiana Pacers","Lost E. Conf. 1st Rnd.","41","1.62","89.7","-0.8","104.5","-1.7","102.4","-3.8","0"
"2004-05","Indiana Pacers","Lost E. Conf. Semis","44","0.49","87.2","-3.7","105.5","-0.6","104.6","-1.5","0"
"2002-03","Indiana Pacers","Lost E. Conf. 1st Rnd.","48","2.79","91.6","0.6","104.6","1","100.8","-2.8","0"
"2000-01","Indiana Pacers","Lost E. Conf. 1st Rnd.","41","-0.77","89.4","-1.9","102","-1","102.2","-0.8","0"
"1998-99","Indiana Pacers","Lost E. Conf. Finals","33","3.86","86.4","-2.5","108.7","6.5","104.4","2.2","0"
"1997-98","Indiana Pacers","Lost E. Conf. Finals","58","6.25","87.9","-2.4","108.4","3.4","101.6","-3.4","0"
"1996-97","Indiana Pacers","","39","1.49","89","-1.1","105.8","-0.9","104.7","-2","0"
"1995-96","Indiana Pacers","Lost E. Conf. 1st Rnd.","52","3.11","89.3","-2.5","110.8","3.2","107.2","-0.4","0"
"1994-95","Indiana Pacers","Lost E. Conf. Finals","52","3.35","90","-2.9","109.6","1.3","105.6","-2.7","0"
"1993-94","Indiana Pacers","Lost E. Conf. Finals","47","3.26","93.3","-1.8","107.8","1.5","104.2","-2.1","0"
"1992-93","Indiana Pacers","Lost E. Conf. 1st Rnd.","41","1.77","96","-0.8","111.9","3.9","110.1","2.1","0"
"1989-90","Indiana Pacers","Lost E. Conf. 1st Rnd.","42","-0.18","97","-1.3","111.5","3.4","111.4","3.3","0"
"1988-89","Indiana Pacers","","28","-3","99.2","-1.4","106.8","-1","111","3.2","0"
"1987-88","Indiana Pacers","","38","-0.18","98","-1.6","106.6","-1.4","107.4","-0.6","0"
"1985-86","Indiana Pacers","","26","-2.66","100.9","-1.2","102.6","-4.6","105.9","-1.3","0"
"1984-85","Indiana Pacers","","22","-5.46","105.1","3","102.5","-5.4","108.4","0.5","0"
"1983-84","Indiana Pacers","","26","-4.25","102.1","0.7","101.8","-5.8","106.5","-1.1","0"
"1982-83","Indiana Pacers","","20","-5.36","103.9","0.8","103.8","-0.9","109.4","4.7","0"
"1981-82","Indiana Pacers","","35","-1.49","98.7","-2.2","102.7","-4.2","104.6","-2.3","0"
"1980-81","Indiana Pacers","Lost E. Conf. 1st Rnd.","44","1.72","100.9","-0.9","106.4","0.9","105","-0.5","0"
"1979-80","Indiana Pacers","","37","-0.54","104.4","1.3","105.5","0.2","106.2","0.9","0"
"1978-79","Indiana Pacers","","38","-1.41","105.3","-0.5","103","-0.8","104.5","0.7","0"
"1977-78","Indiana Pacers","","31","-2.37","108.2","1.5","99.6","-1.3","101.9","1","0"
"1976-77","Indiana Pacers","","36","-1.68","107.1","0.6","99.3","-0.2","101","1.5","0"
"2022-23","Detroit Pistons","","2","-10.12","100.6","0.9","108.7","-3.4","118.9","6.8","0"
"2021-22","Detroit Pistons","","23","-7.36","98.4","0.2","106","-6","113.8","1.8","0"
"2020-21","Detroit Pistons","","20","-4.38","97.9","-1.3","108","-4.3","112.5","0.2","0"
"2019-20","Detroit Pistons","","20","-4.38","97.6","-2.7","109","-1.6","112.7","2.1","0"
"2018-19","Detroit Pistons","Lost E. Conf. 1st Rnd.","41","-0.56","97.4","-2.6","109","-1.4","109.2","-1.2","0"
"2017-18","Detroit Pistons","","39","-0.26","96.2","-1.1","107.2","-1.4","107.3","-1.3","0"
"2016-17","Detroit Pistons","","37","-1.29","95","-1.4","106","-2.8","107.1","-1.7","0"
"2015-16","Detroit Pistons","Lost E. Conf. 1st Rnd.","44","0.43","95.1","-0.7","106.1","-0.3","105.5","-0.9","0"
"2014-15","Detroit Pistons","","32","-1.39","92.8","-1.1","105.3","-0.3","106.4","0.8","0"
"2013-14","Detroit Pistons","","29","-4.13","94.9","1","105.9","-0.8","109.7","3","0"
"2012-13","Detroit Pistons","","29","-4.33","90.8","-1.2","103.8","-2.1","108.1","2.2","0"
"2011-12","Detroit Pistons","","25","-5.19","89.2","-2.1","101","-3.6","106.3","1.7","0"
"2010-11","Detroit Pistons","","30","-3.78","89.2","-2.9","107.7","0.4","111.7","4.4","0"
"2009-10","Detroit Pistons","","27","-5.02","88.5","-4.2","105.6","-2","111.4","3.8","0"
"2008-09","Detroit Pistons","Lost E. Conf. 1st Rnd.","39","-0.36","86.7","-5","107.4","-0.9","108","-0.3","0"
"2007-08","Detroit Pistons","Lost E. Conf. Finals","59","6.67","87.3","-5.1","111.4","3.9","102.9","-4.6","0"
"2006-07","Detroit Pistons","Lost E. Conf. Finals","53","3.69","87.3","-4.6","108.9","2.4","104.2","-2.3","0"
"2003-04","Detroit Pistons","Won Finals","54","5.04","87.9","-2.2","102","-0.9","95.4","-7.5","0"
"2000-01","Detroit Pistons","","32","-2.08","94.7","3.4","100","-3","101.8","-1.2","0"
"1999-00","Detroit Pistons","Lost E. Conf. 1st Rnd.","42","1.13","95.7","2.6","107.3","3.2","105.8","1.7","0"
"1998-99","Detroit Pistons","Lost E. Conf. 1st Rnd.","29","3.97","86.3","-2.6","104.2","2","100.3","-1.9","0"
"1997-98","Detroit Pistons","","37","1.95","88.2","-2.1","105.3","0.3","103.5","-1.5","0"
"1996-97","Detroit Pistons","Lost E. Conf. 1st Rnd.","54","5.45","84.5","-5.6","110.6","3.9","104.4","-2.3","0"
"1995-96","Detroit Pistons","Lost E. Conf. 1st Rnd.","46","2.45","87.7","-4.1","107.9","0.3","105.1","-2.5","0"
"1993-94","Detroit Pistons","","20","-7.46","94.2","-0.9","102.7","-3.6","110.9","4.6","0"
"1992-93","Detroit Pistons","","40","-1.1","93.2","-3.6","107.4","-0.6","108.9","0.9","0"
"1991-92","Detroit Pistons","Lost E. Conf. 1st Rnd.","48","2.06","91.6","-5","107.5","-0.7","105.3","-2.9","0"
"1988-89","Detroit Pistons","Won Finals","63","6.24","95.5","-5.1","110.8","3","104.7","-3.1","0"
"1987-88","Detroit Pistons","Lost Finals","54","5.46","98.3","-1.3","110.5","2.5","105.3","-2.7","0"
"1986-87","Detroit Pistons","Lost E. Conf. Finals","52","3.51","101","0.2","109.2","0.9","105.8","-2.5","0"
"1985-86","Detroit Pistons","Lost E. Conf. 1st Rnd.","46","1.44","104.2","2.1","109","1.8","107.9","0.7","0"
"1984-85","Detroit Pistons","Lost E. Conf. Semis","46","2.73","105","2.9","109.6","1.7","107.2","-0.7","0"
"1983-84","Detroit Pistons","Lost E. Conf. 1st Rnd.","49","3.52","103.8","2.4","111.5","3.9","108.1","0.5","0"
"1982-83","Detroit Pistons","","37","-0.17","105.8","2.7","105.4","0.7","105.8","1.1","0"
"1981-82","Detroit Pistons","","39","-0.63","104.3","3.4","105.8","-1.1","106.6","-0.3","0"
"1980-81","Detroit Pistons","","21","-5.58","101.2","-0.6","98.1","-7.4","104.3","-1.2","0"
"1979-80","Detroit Pistons","","16","-7.57","107.1","4","101.2","-4.1","108.8","3.5","0"
"1978-79","Detroit Pistons","","30","-2.6","107.2","1.4","102.1","-1.7","104.6","0.8","0"
"1977-78","Detroit Pistons","","38","-1.22","107.7","1","100.3","-0.6","101.5","0.6","0"
"1976-77","Detroit Pistons","Lost W. Conf. 1st Rnd.","44","-1","108.8","2.3","100.3","0.8","101.3","1.8","0"
"1975-76","Detroit Pistons","Lost W. Conf. Semis","36","-1.18","105.2","-0.3","99.2","0.9","100.2","1.9","0"
"1974-75","Detroit Pistons","Lost W. Conf. 1st Rnd.","40","-1.19","100.5","-4","98.3","0.6","99.7","2","0"
"1973-74","Detroit Pistons","Lost W. Conf. Semis","52","4.02","106.5","-1.3","97.6","-0.1","93.8","-3.9","0"
"1972-73","Detroit Pistons","","40","0.54","111.5","0.8","98.4","1.6","98.2","1.4","0"
"1971-72","Detroit Pistons","","26","-6.11","112.8","0.8","96.1","-1.8","102.2","4.3","0"
"1970-71","Detroit Pistons","","45","-0.33","111.3","-3.8","98.1","0.9","98.7","1.5","0"
"1969-70","Detroit Pistons","","31","-2.94","111.6","-5.5","100.1","1.1","103.1","4.1","0"
"1968-69","Detroit Pistons","","32","-2.79","116.8","-0.1","97.3","1.8","100","4.5","0"
"1967-68","Detroit Pistons","Lost E. Div. Semis","40","-1.7","122","2.2","96.7","-0.1","98.4","1.6","0"
"1965-66","Detroit Pistons","","22","-6.07","123.4","2","89.4","-5.5","94.9","0","0"
"1964-65","Detroit Pistons","","31","-3.03","119.2","1.9","90.5","-3.1","93.3","-0.3","0"
"1963-64","Detroit Pistons","","23","-6.77","115.9","2.7","92.5","-2.1","99.1","4.5","0"
"1962-63","Detroit Pistons","Lost W. Div. Semis","34","-3.38","120.3","5.3","94.2","-1.7","97.3","1.4","0"
"1961-62","Detroit Pistons","Lost W. Div. Finals","37","-1.72","124.1","2.8","92.8","-0.8","94.2","0.6","0"
"1960-61","Detroit Pistons","Lost W. Div. Semis","34","-2.11","126","2.5","93.8","1.7","95.6","3.5","0"
"1959-60","Detroit Pistons","Lost W. Div. Semis","30","-3.45","123.1","0.8","89.8","-1.3","92.6","1.5","0"
"1958-59","Detroit Pistons","Lost W. Div. Semis","28","-1.36","117.8","5.8","88.4","-1.8","89.4","-0.8","0"
"1957-58","Detroit Pistons","Lost W. Div. Finals","33","-2.32","118.8","1.8","88.2","-0.6","90.1","1.3","0"
"1956-57","Fort Wayne Pistons","Lost W. Div. Semis","34","-2.18","107.7","2.8","88.8","-0.1","91","2.1","0"
"1955-56","Fort Wayne Pistons","Lost Finals","37","0.45","103.2","0.4","90.7","0.4","90","-0.3","0"
"1954-55","Fort Wayne Pistons","Lost Finals","43","2.01","100.7","2.6","91.2","1.4","88.9","-0.9","0"
"1953-54","Fort Wayne Pistons","Eliminated in W. Div. Rnd. Robin","40","1.45","86.9","3.3","89","1.5","87.2","-0.3","0"
"1951-52","Fort Wayne Pistons","Lost W. Div. Semis","29","-1.83","90.1","4.3","85.6","-1.3","87.9","1","0"
"1950-51","Fort Wayne Pistons","Lost W. Div. Semis","32","-1.81","102.4","16.9","82","-3.1","83.8","-1.3","0"
"1949-50","Fort Wayne Pistons","Lost Central Div. Finals","40","1.84","","","","","","","0"
"2022-23","Washington Wizards","","4","1.51","97.4","-2.3","112.3","0.2","112.9","0.8","0"
"2021-22","Washington Wizards","","35","-3.23","97","-1.2","111.1","-0.9","114.5","2.5","0"
"2020-21","Washington Wizards","Lost E. Conf. 1st Rnd.","34","-1.85","104.1","4.9","111.2","-1.1","113","0.7","0"
"2019-20","Washington Wizards","","25","-5.24","102.7","2.4","110.9","0.3","115.5","4.9","0"
"2018-19","Washington Wizards","","32","-3.3","101.4","1.4","111.1","0.7","113.9","3.5","0"
"2017-18","Washington Wizards","Lost E. Conf. 1st Rnd.","43","0.53","96.6","-0.7","109.3","0.7","108.7","0.1","0"
"2016-17","Washington Wizards","Lost E. Conf. Semis","49","1.36","97.4","1","111.2","2.4","109.3","0.5","0"
"2015-16","Washington Wizards","","41","-0.5","98.5","2.7","105.3","-1.1","105.8","-0.6","0"
"2014-15","Washington Wizards","Lost E. Conf. Semis","46","0.17","93.7","-0.2","103.7","-1.9","103","-2.6","0"
"2013-14","Washington Wizards","Lost E. Conf. Semis","44","0.48","93.2","-0.7","106","-0.7","104.6","-2.1","0"
"2012-13","Washington Wizards","","29","-2.78","92.2","0.2","100.2","-5.7","103","-2.9","0"
"2011-12","Washington Wizards","","20","-5.14","92.5","1.2","101","-3.6","106.2","1.6","0"
"2010-11","Washington Wizards","","23","-7.3","93.8","1.7","102.4","-4.9","110.2","2.9","0"
"2009-10","Washington Wizards","","26","-4.72","91.6","-1.1","104.2","-3.4","109.4","1.8","0"
"2008-09","Washington Wizards","","19","-6.98","91","-0.7","105.4","-2.9","113.6","5.3","0"
"2007-08","Washington Wizards","Lost E. Conf. 1st Rnd.","43","-0.61","89.5","-2.9","109.2","1.7","109.6","2.1","0"
"2006-07","Washington Wizards","Lost E. Conf. 1st Rnd.","41","-0.8","94.1","2.2","110.1","3.6","110.6","4.1","0"
"2005-06","Washington Wizards","Lost E. Conf. 1st Rnd.","42","1.57","92.3","1.8","109.3","3.1","107.3","1.1","0"
"2004-05","Washington Wizards","Lost E. Conf. Semis","45","-0.71","93.3","2.4","107.2","1.1","107.5","1.4","0"
"2003-04","Washington Wizards","","25","-6.12","92.2","2.1","98.8","-4.1","104.8","1.9","0"
"2002-03","Washington Wizards","","37","-1.47","88.2","-2.8","103","-0.6","104.1","0.5","0"
"2001-02","Washington Wizards","","37","-1.58","88.3","-2.4","104.8","0.3","106.4","1.9","0"
"2000-01","Washington Wizards","","19","-6.75","92.7","1.4","100.6","-2.4","107.8","4.8","0"
"1999-00","Washington Wizards","","29","-3.47","92.7","-0.4","103.5","-0.6","107","2.9","0"
"1998-99","Washington Wizards","","18","-1.75","89.8","0.9","101.2","-1","103.7","1.5","0"
"1997-98","Washington Wizards","","42","1.11","91.8","1.5","105.2","0.2","104.5","-0.5","0"
"1996-97","Washington Bullets","Lost E. Conf. 1st Rnd.","44","1.77","92.4","2.3","106.6","-0.1","104.9","-1.8","0"
"1995-96","Washington Bullets","","39","0.99","93.7","1.9","108.7","1.1","107.6","0","0"
"1994-95","Washington Bullets","","21","-5.56","94.5","1.6","105.4","-2.9","111.3","3","0"
"1993-94","Washington Bullets","","24","-7.13","95.9","0.8","104.5","-1.8","112.2","5.9","0"
"1992-93","Washington Bullets","","22","-6.49","97.7","0.9","103.6","-4.4","110.8","2.8","0"
"1991-92","Washington Bullets","","25","-4.35","97.7","1.1","103.9","-4.3","108.4","0.2","0"
"1990-91","Washington Bullets","","30","-4.84","97.5","-0.3","103","-4.9","108.1","0.2","0"
"1989-90","Washington Bullets","","31","-2.43","99.4","1.1","107.5","-0.6","109.7","1.6","0"
"1988-89","Washington Bullets","","40","-1.77","100.8","0.2","106.4","-1.4","108.5","0.7","0"
"1987-88","Washington Bullets","Lost E. Conf. 1st Rnd.","38","-0.16","98.1","-1.5","106.5","-1.5","107.2","-0.8","0"
