Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Dylan Windler,4037278,1,0.8,SF,0.2,0.6,25,0.7,2,0.4,1.4,0.3,0.6,0.3,0.4,0.4,1.4,1.8,0.7,0.3,0.1,0.3,0.9,2.2
2023,Edmond Sumner,1968175,10,0.3,SG,0.1,0.3,27,2.6,6,0.7,2.4,1.9,3.6,2.1,2.2,0.3,1.4,1.6,1.4,1,0.3,1.3,1.4,8
2022,Eric Bledsoe,1300000,28,1.3,PG,-0.5,1.8,32,3.6,8.7,0.9,3,2.7,5.6,1.6,2.2,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9
2022,Eric Gordon,19568360,97,1.4,SG,1.5,-0.1,33,4.7,9.9,2.2,5.3,2.5,4.6,1.8,2.4,0.3,1.7,2,2.7,0.5,0.3,1.9,1.1,13.4
2022,Evan Fournier,18000000,16,3.7,SG,1.5,2.2,29,5,12.1,3,7.7,2,4.3,1,1.4,0.4,2.2,2.6,2.1,1,0.3,1.3,2.3,14.1
2022,Frank Kaminsky,1836090,9,0.9,C,0.5,0.3,28,4,7.3,0.6,1.7,3.4,5.7,2,2.2,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
2022,Frank Ntilikina,2036318,13,0.9,SG,0.1,0.9,23,1.5,3.8,0.7,1.9,0.9,1.9,0.4,0.4,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.1,4.1
2022,Fred VanVleet,21250000,17,6.7,PG,3.9,2.8,27,6.8,16.9,3.7,9.9,3.1,7,3,3.4,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.5,20.3
2022,Furkan Korkmaz,5000000,9,1.2,SG,0.1,1.1,24,2.7,7,1.1,4,1.6,3,1,1.3,0.3,2.3,2.6,1.9,0.5,0.1,0.7,0.9,7.6
2022,Gabe Vincent,1815677,9,2.5,PG,0.7,1.9,25,3.1,7.5,1.8,4.8,1.4,2.8,0.6,0.8,0.3,1.5,1.9,3.1,0.9,0.2,1.4,2.3,8.7
2022,Garrett Temple,5155500,20,0.8,SG,-0.1,1,35,1.9,5,1,3.1,0.9,1.9,0.5,0.7,0.5,1.9,2.4,1.3,0.7,0.4,0.7,1.4,5.2
2022,Garrison Mathews,2000000,1,2.8,SG,2.2,0.5,25,2.8,7.1,2.1,5.9,0.7,1.2,2.2,2.8,0.5,2.4,2.9,1,0.9,0.4,0.6,2.6,10
2022,Gary Harris,13000000,27,2.2,SG,1.1,1,27,3.9,9.1,1.9,5,2,4.1,1.4,1.6,0.6,1.4,2,1.8,1,0.1,1,1.8,11.1
2022,Gary Payton II,8300000,5,5.2,SG,2.5,2.6,29,3,4.8,0.6,1.7,2.4,3.2,0.5,0.8,1,2.5,3.5,0.9,1.4,0.3,0.6,1.8,7.1
2022,Gary Trent Jr.,17505000,16,5.6,SG,3.1,2.5,23,6.4,15.5,3,7.8,3.4,7.7,2.5,2.9,0.4,2.4,2.7,2,1.7,0.3,1,2.1,18.3
2022,George Hill,4000000,65,2.3,PG,1.3,1,35,2.2,5.1,0.8,2.5,1.4,2.6,1.1,1.1,0.7,2.2,2.9,2.2,0.8,0.1,0.8,1.3,6.2
2022,Georges Niang,3465000,11,2.8,PF,1.5,1.3,28,3.2,7.4,2.1,5.1,1.2,2.3,0.7,0.8,0.3,2.3,2.7,1.3,0.4,0.2,0.8,2.5,9.2
2022,Giannis Antetokounmpo,42492492,25,12.9,PF,9.2,3.7,27,10.3,18.6,1.1,3.6,9.2,15,8.3,11.4,2,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9
2022,Goga Bitadze,4765339,4,1.9,C,1.3,0.6,22,2.6,5,0.5,1.6,2.2,3.4,1.3,1.9,1.6,2,3.5,1.1,0.4,0.8,0.9,2.1,7
2022,Gordon Hayward,30075000,42,2.8,SF,1.9,1,31,5.8,12.6,1.8,4.5,4,8.1,2.6,3,0.8,3.8,4.6,3.6,1,0.4,1.7,1.7,15.9
2022,Gorgui Dieng,1836090,4,1.2,C,0.8,0.4,32,1.2,2.5,0.7,1.5,0.5,1,0.4,0.6,0.7,2,2.8,0.8,0.3,0.3,0.5,1.2,3.5
2022,Grayson Allen,8500000,7,4.2,SG,2.8,1.4,26,3.9,8.6,2.4,5.9,1.5,2.7,1,1.1,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1
2022,Hamidou Diallo,5200000,9,2.1,SG,0.6,1.5,23,4.5,9.1,0.4,1.6,4.1,7.5,1.6,2.4,1.2,3.6,4.8,1.3,1.2,0.3,1,2.5,11
2022,Harrison Barnes,18352273,12,6,PF,5,1,29,5.1,10.8,1.8,4.7,3.2,6.2,4.4,5.4,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4
2022,Isaiah Hartenstein,7804879,10,5.5,C,3.3,2.2,23,3.4,5.4,0.2,0.4,3.2,4.9,1.3,1.9,1.7,3.2,4.9,2.4,0.7,1.1,1.2,2.5,8.3
2022,Isaiah Roby,1930681,4,2.9,PF,1.8,1.1,23,3.7,7.2,1,2.2,2.7,5,1.7,2.6,1.7,3.2,4.8,1.6,0.8,0.8,1,2.4,10.1
2022,Ish Smith,4725000,15,0.5,PG,-0.3,0.9,33,2.8,6.6,0.4,1,2.5,5.6,0.2,0.4,0.4,1.8,2.2,3.8,0.7,0.4,1.2,1.2,6.3
