Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,2P,2PA,2Pcent,eFGcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_additional
255,Matisse Thybulle,SG,25,PHI,13,3,170,8,27,.296,3,16,.188,5,11,.455,.352,1,3,.333,4,16,20,8,13,5,2,17,20,thybuma01
256,Kevin Knox,SF,23,DET,8,0,65,6,24,.250,2,16,.125,4,8,.500,.292,0,0,,2,6,8,1,1,1,4,10,14,knoxke01
257,Jordan Goodwin,PG,24,WAS,8,0,151,22,40,.550,8,15,.533,14,25,.560,.650,3,4,.750,10,24,34,25,6,7,5,13,55,goodwjo01
258,Markieff Morris,PF,33,BRK,8,0,77,7,22,.318,6,15,.400,1,7,.143,.455,0,0,,2,14,16,9,2,2,7,10,20,morrima02
259,Cam Thomas,SG,21,BRK,9,0,175,25,64,.391,5,15,.333,20,49,.408,.430,29,34,.853,1,15,16,20,7,2,8,10,84,thomaca02
260,Malaki Branham,SF,19,SAS,4,2,78,8,28,.286,3,15,.200,5,13,.385,.339,5,6,.833,2,7,9,8,1,0,3,3,24,branhma01
261,Robert Covington,PF,32,LAC,7,0,100,9,21,.429,5,14,.357,4,7,.571,.548,6,6,1.000,1,22,23,8,3,5,4,16,29,covinro01
262,Gorgui Dieng,C,33,SAS,6,0,55,8,17,.471,5,14,.357,3,3,1.000,.618,0,0,,4,8,12,11,1,4,7,9,21,dienggo01
263,Keita Bates-Diop,SF,27,SAS,12,2,147,30,59,.508,4,14,.286,26,45,.578,.542,16,19,.842,11,15,26,5,5,0,14,6,80,bateske01
264,Bryn Forbes,SG,29,MIN,8,0,87,9,29,.310,4,14,.286,5,15,.333,.379,4,4,1.000,3,2,5,8,7,0,3,5,26,forbebr01
265,Domantas Sabonis,PF,26,SAC,12,12,384,78,140,.557,3,14,.214,75,126,.595,.568,56,79,.709,31,105,136,75,11,6,27,47,215,sabondo01
266,Isaiah Hartenstein,C,24,NYK,13,3,326,44,79,.557,3,14,.214,41,65,.631,.576,11,14,.786,48,60,108,12,9,16,15,37,102,harteis01
267,Isaac Okoro,SG,22,CLE,13,3,205,12,36,.333,1,14,.071,11,22,.500,.347,9,12,.750,5,14,19,5,7,1,11,26,34,okorois01
268,Kyle Anderson,PF,29,MIN,10,2,193,22,40,.550,6,13,.462,16,27,.593,.625,11,13,.846,4,25,29,29,8,5,8,12,61,anderky01
269,Dewayne Dedmon,C,33,MIA,11,0,133,23,42,.548,5,13,.385,18,29,.621,.607,13,16,.813,9,28,37,8,1,4,6,24,64,dedmode01
270,Nickeil Alexander-Walker,SG,24,UTA,9,0,70,9,27,.333,4,13,.308,5,14,.357,.407,4,5,.800,0,6,6,10,5,3,5,11,26,alexani01
271,Alperen Şengün,C,20,HOU,11,8,289,64,111,.577,3,13,.231,61,98,.622,.590,46,58,.793,41,59,100,22,8,11,21,37,177,sengual01
272,Draymond Green,PF,32,GSW,12,12,365,43,76,.566,3,12,.250,40,64,.625,.586,10,17,.588,8,69,77,80,11,7,30,43,99,greendr01
